timestamp,price
2026-02-19T00:00:00+00:00,198038000.0
2026-02-21T00:00:00+00:00,196445000.0
2026-02-22T00:00:00+00:00,198920000.0
2026-02-23T00:00:00+00:00,198038000.0
2026-02-24T00:00:00+00:00,198038000.0
2026-02-25T00:00:00+00:00,198038000.0
2026-03-13T00:00:00+00:00,188554000.0
2026-03-14T00:00:00+00:00,190032000.0
2026-03-15T00:00:00+00:00,185939000.0
2026-03-16T00:00:00+00:00,187677000.0
2026-03-17T00:00:00+00:00,191364000.0
2026-03-18T00:00:00+00:00,191456000.0
2026-03-19T00:00:00+00:00,184046000.0
2026-03-20T00:00:00+00:00,185154000.0
2026-03-21T00:00:00+00:00,180075000.0
2026-03-22T00:00:00+00:00,187600000.0
2026-03-23T00:00:00+00:00,177074000.0
2026-03-24T00:00:00+00:00,176956000.0
2026-03-25T00:00:00+00:00,179376000.0
2026-03-26T00:00:00+00:00,180306000.0
2026-03-27T00:00:00+00:00,179729000.0
2026-03-28T00:00:00+00:00,177882000.0
2026-03-29T00:00:00+00:00,178459000.0
2026-03-30T00:00:00+00:00,177536000.0
2026-03-31T00:00:00+00:00,174996000.0
2026-04-01T00:00:00+00:00,173958000.0
2026-04-02T00:00:00+00:00,169687000.0
2026-04-03T00:00:00+00:00,172912000.0
2026-04-04T00:00:00+00:00,172900000.0
2026-04-05T00:00:00+00:00,164952000.0
2026-04-06T00:00:00+00:00,161030000.0
2026-04-07T00:00:00+00:00,161600000.0
2026-04-08T00:00:00+00:00,161607000.0
2026-04-09T00:00:00+00:00,164377000.0
2026-04-10T00:00:00+00:00,161829000.0
2026-04-11T00:00:00+00:00,163336000.0
2026-04-12T00:00:00+00:00,162287000.0
2026-04-13T00:00:00+00:00,171303000.0
2026-04-14T00:00:00+00:00,173719000.0
2026-04-15T00:00:00+00:00,178672000.0
2026-04-16T00:00:00+00:00,179267000.0
2026-04-17T00:00:00+00:00,179249000.0
2026-04-18T00:00:00+00:00,181227000.0
2026-04-19T00:00:00+00:00,183074000.0
2026-04-20T00:00:00+00:00,184692000.0
2026-04-21T00:00:00+00:00,182772000.0
2026-04-22T00:00:00+00:00,182769000.0
2026-04-23T00:00:00+00:00,183653000.0
